"","share","total","Germany","Turkey","Poland","Iraq","UK","Nordics","population","muni"
"1",0.0769321713281989,4555,1839,146,244,23,83,224,59208,"Aabenraa"
"2",0.0587226219967756,11947,482,380,816,435,322,1382,203448,"Aalborg"
"3",0.0829097381962682,26456,1585,1868,1481,1758,910,2788,319094,"Aarhus"
"4",0.042132679638425,275,72,1,36,5,17,27,6527,"Ærø"
"5",0.13409286946521,3731,85,1169,96,47,240,178,27824,"Albertslund"
"6",0.041914177709467,1009,44,79,47,63,82,111,24073,"Allerød"
"7",0.0311433756805808,1287,108,4,135,57,64,135,41325,"Assens"
"8",0.0753769886540416,3634,103,677,186,112,108,275,48211,"Ballerup"
"9",0.0553173729938916,1458,92,12,177,21,39,120,26357,"Billund"
"10",0.0373818003192926,1522,225,6,93,29,70,280,40715,"Bornholm"
"11",0.117772581116633,4029,76,1133,275,73,150,209,34210,"Brøndby"
"12",0.0313202247191011,1115,50,15,58,60,25,132,35600,"Brønderslev"
"13",0.0434782608695652,4,0,0,0,0,0,3,92,"Christiansø"
"14",0.0546094704318459,760,46,3,22,18,48,239,13917,"Dragør"
"15",0.0405302489409301,1703,99,199,122,83,82,174,42018,"Egedal"
"16",0.058826085822809,6768,488,436,726,344,277,513,115051,"Esbjerg"
"17",0.035713591005466,1836,141,32,248,7,82,161,51409,"Faaborg-Midtfyn"
"18",0.0494284831634229,160,55,0,7,2,8,24,3237,"Fanø"
"19",0.0336330477563831,1586,89,59,143,82,77,161,47156,"Favrskov"
"20",0.0341656464425021,1200,58,26,185,52,55,141,35123,"Faxe"
"21",0.0814201003497035,3213,124,613,200,90,166,372,39462,"Fredensborg"
"22",0.0554651208957002,2794,135,227,245,158,72,152,50374,"Fredericia"
"23",0.114026404257613,11634,777,392,269,202,634,2060,102029,"Frederiksberg"
"24",0.0385026737967914,2340,107,83,196,44,61,406,60775,"Frederikshavn"
"25",0.0390397836132086,1732,64,314,106,94,63,194,44365,"Frederikssund"
"26",0.07027408724762,2687,135,572,222,105,118,247,38236,"Furesø"
"27",0.0977917121046892,7174,357,65,288,160,634,918,73360,"Gentofte"
"28",0.0925942753293957,6114,182,450,304,243,314,692,66030,"Gladsaxe"
"29",0.076089441675431,1664,39,271,92,85,68,124,21869,"Glostrup"
"30",0.0576698624426845,2767,86,452,414,143,108,249,47980,"Greve"
"31",0.0422334276226786,1717,100,133,172,84,132,216,40655,"Gribskov"
