"symbol","name","sector","industry","curr_close","prev_close","volume","change"
"CHOP","China Gerui Advanced Materials Group Limited","Capital Goods","Steel/Iron Ore","1.68","1.68",46100,0
"FLWS","1-800 FLOWERS.COM, Inc.","Consumer Services","Other Specialty Stores","5.71","5.93",255000,"3.70994940978077"
"FCTY","1st Century Bancshares, Inc","Finance","Major Banks","5.64","5.82",3900,"3.09278350515465"
"FCCY","1st Constitution Bancorp (NJ)","Finance","Savings Institutions","8.65","8.67",1000,"0.230680507497116"
"SRCE","1st Source Corporation","Finance","Major Banks","22.87","23.53",59700,"2.80492987675308"
"FUBC","1st United Bancorp, Inc. (FL)","Finance","Major Banks","6.19","6.63",104300,"6.6365007541478"
"VNET","21Vianet Group, Inc.","Technology","Computer Software: Programming, Data Processing","8.84","9.04",65000,"2.21238938053097"
"SSRX","3SBio Inc.","Consumer Durables","Major Pharmaceuticals","16.47","16.51",150500,"0.242277407631752"
"JOBS","51job, Inc.","Technology","Diversified Commercial Services","57.45","57.6",87100,"0.260416666666663"
"EGHT","8x8 Inc","Public Utilities","Telecommunications Equipment","7.07","7.23",652300,"2.21300138312587"
"AVHI","A V Homes, Inc.","Capital Goods","Homebuilding","12.09","12.91",49300,"6.35166537567777"
"SHLM","A. Schulman, Inc.","Basic Industries","Major Chemicals","26.02","25.97",331100,"-0.192529842125522"
"AAON","AAON, Inc.","Capital Goods","Industrial Machinery/Components","27.29","28.41",97900,"3.94227384723689"
"ASTM","Aastrom Biosciences, Inc.","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","0.52","0.6",799700,"13.3333333333333"
"ABAX","ABAXIS, Inc.","Capital Goods","Industrial Machinery/Components","42.08","42.69",205900,"1.42890606699461"
"ABMD","ABIOMED, Inc.","Health Care","Medical/Dental Instruments","18.71","18.47",629600,"-1.29940443963186"
"AXAS","Abraxas Petroleum Corporation","Energy","Oil & Gas Production","2.14","2.24",594800,"4.46428571428572"
"ACTG","Acacia Research Corporation","Misc","Multi-Sector Companies","23.55","23.82",1075200,"1.13350125944585"
"ACHC","Acadia Healthcare Company, Inc.","Health Care","Medical Specialities","31.05","31.55",370700,"1.58478605388273"
"ACAD","ACADIA Pharmaceuticals Inc.","Consumer Durables","Major Pharmaceuticals","12.02","12.89",3774600,"6.74941815360746"
"ACST","Acasti Pharma, Inc.","Consumer Durables","Major Pharmaceuticals","2.37","2.36",6200,"-0.423728813559321"
"AXDX","Accelerate Diagnostics, Inc.","Capital Goods","Biotechnology: Laboratory Analytical Instruments","6.35","6.32",17000,"-0.474683544303778"
"ACCL","Accelrys, Inc.","Technology","Computer Software: Prepackaged Software","7.98","9.85",1290200,"18.9847715736041"
"ANCX","Access National Corporation","Finance","Savings Institutions","12.31","12.57",64300,"2.0684168655529"
"ARAY","Accuray Incorporated","Health Care","Medical/Dental Instruments","4.23","4.4",586800,"3.86363636363636"
"ACRX","AcelRx Pharmaceuticals, Inc.","Consumer Durables","Major Pharmaceuticals","5.55","5.86",265400,"5.29010238907851"
"ACET","Aceto Corporation","Consumer Durables","Specialty Chemicals","10.03","10.4",138000,"3.55769230769232"
"ACHN","Achillion Pharmaceuticals, Inc.","Consumer Durables","Major Pharmaceuticals","7.08","7.54",1367000,"6.10079575596817"
"ACIW","ACI Worldwide, Inc.","Technology","Computer Software: Prepackaged Software","46.23","47.01",336300,"1.65922144224633"
"ACNB","ACNB Corporation","Finance","Major Banks","16.39","16.5",7400,"0.66666666666666"
"ACOR","Acorda Therapeutics, Inc.","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","38.27","39.57",715600,"3.28531715946423"
"ACFN","Acorn Energy, Inc.","Consumer Services","Military/Government/Technical","7.01","7.5",99200,"6.53333333333333"
"ACTS","Actions Semiconductor Co., Ltd.","Technology","Semiconductors","3.3","3.37",100200,"2.07715133531158"
"ACPW","Active Power, Inc.","Public Utilities","Electric Utilities: Central","4.32","4.57",82900,"5.47045951859956"
"ATVI","Activision Blizzard, Inc","Technology","Computer Software: Prepackaged Software","14.74","14.96",4524900,"1.47058823529412"
"BIRT","Actuate Corporation","Technology","Computer Software: Prepackaged Software","6.04","6.14",510200,"1.628664495114"
"ACUR","Acura Pharmaceuticals, Inc.","Consumer Durables","Major Pharmaceuticals","2.38","2.45",500700,"2.85714285714287"
"ACXM","Acxiom Corporation","Technology","EDP Services","19.27","19.89",524200,"3.11714429361488"
"ADES","ADA-ES, Inc.","Basic Industries","Major Chemicals","25.93","27.61",58000,"6.08475190148496"
"ADUS","Addus HomeCare Corporation","Health Care","Medical/Nursing Services","12.42","11.84",73300,"-4.89864864864864"
"AEY","ADDvantage Technologies Group, Inc.","Consumer Services","Office Equipment/Supplies/Services","2.29","2.36",200,"2.96610169491525"
"ADEP","Adept Technology, Inc.","Technology","Industrial Machinery/Components","3.08","3.21",45200,"4.04984423676012"
"ADBE","Adobe Systems Incorporated","Technology","Computer Software: Prepackaged Software","44.71","45.08",3817600,"0.820763087843823"
